1,6720,Text_t,162.162,NA,NA
1,6720,Text_t,21168,NA,NA
1,6720,Tempo,370000,NA,NA
1,6840,Note_off_c,2,57,94
1,6840,Note_off_c,2,62,102
1,6840,Note_off_c,2,65,102
1,6840,Note_off_c,3,74,94
1,6840,Note_off_c,3,77,94
1,6840,Note_on_c,2,61,101
1,6840,Note_on_c,2,64,101
1,6840,Note_on_c,3,73,99
1,6840,Note_on_c,3,76,99
1,6840,Text_t,133.333,NA,NA
1,6840,Text_t,21538,NA,NA
1,6840,Tempo,450001,NA,NA
1,6930,Note_off_c,2,61,101
1,6930,Note_off_c,2,64,101
1,6930,Note_off_c,3,73,99
1,6930,Note_off_c,3,76,99
1,6930,Note_on_c,2,59,102
1,6930,Note_on_c,2,62,102
1,6930,Note_on_c,3,71,96
1,6930,Note_on_c,3,74,96
1,6960,Note_off_c,2,59,102
1,6960,Note_off_c,2,62,102
1,6960,Note_off_c,3,71,96
1,6960,Note_off_c,3,74,96
1,6960,Note_on_c,2,52,100
1,6960,Note_on_c,2,59,100
1,6960,Note_on_c,3,64,94
1,6960,Note_on_c,3,71,94
1,6960,Text_t,110.092,NA,NA
1,6960,Text_t,21988,NA,NA
1,6960,Tempo,544999,NA,NA
1,7080,Text_t,22533,NA,NA
1,7200,Note_off_c,2,52,100
1,7200,Note_off_c,2,59,100
1,7200,Note_off_c,3,64,94
1,7200,Note_off_c,3,71,94
1,7200,Note_on_c,2,57,56
1,7200,Note_on_c,2,45,56
1,7200,Note_on_c,3,69,50
1,7200,Note_on_c,3,81,50
1,7200,Text_t,142.857,NA,NA
1,7200,Text_t,23078,NA,NA
1,7200,Text_t,p,NA,NA
1,7200,Tempo,420000,NA,NA
1,7290,Note_off_c,2,57,56
1,7290,Note_off_c,3,69,50
